城市,0-14岁,15-59岁,60-65岁,65岁以及上
,,,,
成都市,13.29,68.73,4.37,13.61  
自贡市,15.76,56.90,6.06,21.27  
攀枝花市,14.02,66.25,3.87,15.89  
泸州市,18.24,58.77,5.35,17.64  
德阳市,13.07,61.14,5.55,20.26  
绵阳市,14.14,62.15,5.36,18.37  
广元市,15.36,60.12,5.70,18.80  
遂宁市,15.53,59.28,5.33,19.86  
内江市,15.56,59.21,5.21,20.01  
乐山市,14.10,61.38,5.30,19.20  
南充市,15.73,58.27,5.30,20.70  
眉山市,14.00,61.27,4.70,20.03  
宜宾市,18.72,60.69,4.80,15.77  
广安市,17.56,57.64,5.24,19.56  
达州市,17.30,60.34,4.41,17.95  
雅安市,15.38,63.15,4.45,17.00  
巴中市,17.36,58.18,4.78,19.68  
资阳市,16.76,55.05,5.58,22.61  
阿坝藏族羌族自治州,18.88,66.79,3.51,10.80  
甘孜藏族自治州,22.98,65.64,3.01,8.37  
凉山彝族自治州,27.63,59.93,2.94,9.50

